Gender,Race,Age,EmploymentLength,AnnualIncome,MonthlyDebt,RequestedAmount,CreditScore,PriorDefaults,DTI,LoanToIncome,Approved
0,1,60,16.0,90826,3400.0,52500.0,678,0,0.4492105784687204,0.5780283178825446,1
1,1,27,0.0,43080,350.0,25500.0,510,0,0.09749303621169916,0.5919220055710307,1
1,0,52,10.0,62699,260.0,18700.0,674,0,0.04976155919552146,0.29825037081931133,1
1,1,39,13.0,49603,1170.0,27900.0,623,0,0.28304739632683507,0.5624659798802492,1
0,0,26,0.0,38351,550.0,12600.0,467,1,0.17209459988005527,0.328544236134651,0
0,0,40,14.0,59826,1340.0,11900.0,620,1,0.26877946043526224,0.19891017283455353,1
0,1,47,15.0,51089,430.0,27000.0,636,0,0.10100021531053652,0.5284894987179236,1
1,0,63,16.0,80444,3210.0,36100.0,712,1,0.478842424543782,0.4487593854109691,1
1,1,57,13.0,73244,1240.0,21000.0,694,0,0.2031565725520179,0.2867129048113156,1
1,1,27,6.0,26884,370.0,7400.0,580,1,0.16515399494122898,0.27525665823538165,1
0,0,25,0.0,38161,1520.0,24300.0,396,1,0.477974895836063,0.6367757658342287,0
1,1,31,2.0,18000,530.0,10500.0,549,1,0.35333333333333333,0.5833333333333334,1
1,0,35,6.0,44420,1540.0,24600.0,509,1,0.4160288158487168,0.5538045925258892,0
0,0,23,0.0,26758,510.0,5700.0,560,0,0.22871664548919948,0.21302040511248974,1
0,0,25,0.0,18000,380.0,9500.0,514,1,0.25333333333333335,0.5277777777777778,1
0,1,43,8.0,59486,880.0,15300.0,583,1,0.17752076118750632,0.25720337558417106,1
0,0,57,17.0,106447,1460.0,68000.0,655,0,0.16458895036966753,0.6388155607955133,1
1,0,29,1.0,43779,1090.0,7700.0,512,1,0.29877338449941754,0.17588341442244,1
0,1,35,6.0,54844,940.0,17900.0,514,1,0.20567427612865583,0.3263802786084166,1
0,1,23,0.0,32149,1380.0,11700.0,423,1,0.5151015583688451,0.3639304488475536,0
1,1,49,16.0,70157,2050.0,39400.0,608,0,0.35064213121997806,0.5615975597588266,1
0,0,26,4.0,18406,730.0,9800.0,575,1,0.475931761382158,0.5324350755188525,1
0,0,37,8.0,53264,220.0,18000.0,642,0,0.04956443376389306,0.3379393211174527,1
0,0,46,13.0,75604,3010.0,32700.0,622,0,0.4777524998677319,0.4325167980530131,1
0,1,41,9.0,57876,240.0,32900.0,677,0,0.04976155919552146,0.5684567005321722,1
1,0,28,2.0,47860,390.0,7600.0,572,1,0.09778520685332219,0.15879648976180527,1
0,0,41,13.0,53111,220.0,29300.0,617,1,0.04970721696070494,0.5516747942987329,1
0,1,31,5.0,44787,1040.0,27900.0,532,1,0.27865228749413895,0.6229486234844933,0
1,0,58,15.0,63319,1310.0,10500.0,620,1,0.2482667129929405,0.16582700295329997,1
0,1,28,3.0,29559,850.0,5100.0,562,0,0.3450725667309449,0.17253628336547244,1
1,1,62,17.0,73556,1470.0,23700.0,633,0,0.2398172820708032,0.32220349121757574,1
0,1,44,9.0,64250,2130.0,12500.0,673,0,0.39782101167315176,0.19455252918287938,1
0,0,55,16.0,90139,1040.0,35100.0,629,0,0.13845283395644506,0.38939859550250167,1
1,0,34,2.0,38843,1290.0,20000.0,584,1,0.3985274051952733,0.5148932883659861,1
1,1,34,2.0,18000,370.0,7800.0,607,0,0.24666666666666667,0.43333333333333335,1
1,1,30,7.0,39038,1730.0,9700.0,545,1,0.5317895383984835,0.24847584404938777,1
0,1,32,5.0,35087,1040.0,16800.0,614,0,0.3556872915894776,0.4788098156012198,1
0,0,58,19.0,104801,1870.0,51600.0,668,0,0.2141200942739096,0.49236171410578145,1
1,1,64,20.0,94241,1930.0,58100.0,696,0,0.2457529100922104,0.6165044937978162,1
0,1,66,16.0,70743,760.0,15800.0,709,0,0.12891734871294686,0.22334365237550005,1
0,1,54,16.0,79386,1940.0,39400.0,671,0,0.2932506991157131,0.49630917290202303,1
